sigma,K_over_KI,dlnW_dI
0.5,3.3941980244183236,0.20545830723417421
0.5,3.4662737467656966,0.2684069407399292
0.5,3.5398799955333087,0.3311736190392267
0.5,3.6150492714169107,0.39375136993147203
0.5,3.6918147652638327,0.4561333099228903
0.5,3.770210372728335,0.518312647157515
0.5,3.850270709238171,0.5802826838596786
0.5,3.9320311252789626,0.6420368190429571
0.5,4.015527722003133,0.7035685511525002
0.5,4.100797367170309,0.7648714803298872
0.5,4.187877711426197,0.8259393108112077
0.5,4.276807204927165,0.8867658533695532
0.5,4.367625114317823,0.9473450270025551
0.5,4.460371540069142,1.0076708614636942
0.5,4.555087434184731,1.067737498861021
0.5,4.6518146182831215,1.127539195699967
0.5,4.750595802064019,1.1870703243932468
0.5,4.851474602166686,1.2463253753036696
0.5,4.954495561428786,1.3052989578543617
0.5,5.059704168554189,1.3639858020386695
0.5,5.167146878198402,1.4223807600188818
0.5,5.276871131480574,1.4804788070144068
2.0,1.0083681522074468,-0.1777529488045104
2.0,1.06275541009801,-0.1707509353687797
2.0,1.1200760944503063,-0.16360995567232806
2.0,1.1804884223015646,-0.1563294842243934
2.0,1.2441591442695177,-0.14890911597120748
2.0,1.3112640048188697,-0.14134857180270188
2.0,1.38198822735265,-0.13364770377055635
2.0,1.4565270254674159,-0.12580650041726926
2.0,1.5350861417834718,-0.1178250917499568
2.0,1.6178824158373863,-0.10970375416974319
2.0,1.7051443826043144,-0.10144291531233306
2.0,1.7971129033021664,-0.09304315855551691
2.0,1.8940418302187778,-0.08450522732683652
2.0,1.9961987073971343,-0.0758300291670011
2.0,2.1038655091127056,-0.06701863961566801
2.0,2.2173394181812203,-0.05807230560872511
2.0,2.336933646245182,-0.04899244858691531
2.0,2.462978298303295,-0.03978066731580299
2.0,2.5958212838690713,-0.030438740372673575
2.0,2.7358292772736017,-0.020968627900685988
2.0,2.8833887297631535,-0.011372473207593712
2.0,3.0389069361851577,-0.0016526040758080283
2.0,3.2028131592068863,0.008188467126579724
2.0,3.375559814169902,0.018148042979504453
2.0,3.5576237178506984,0.028223241654856675
2.0,3.7495074045743992,0.03841099787127433
2.0,3.9517405133142423,0.048708064470659444
2.0,4.164881249605556,0.05911101452760192
2.0,4.389517926309392,0.06961624408052813
2.0,4.626270587478648,0.08021997539575665
2.0,4.875792719808908,0.09091826083107434
2.0,5.138773056397942,0.10170698727662851
2.0,5.415937477792616,0.1125818813063617
2.0,5.708051015570509,0.12353851466251341
2.0,6.015919963986539,0.13457231051727803
2.0,6.340394105513186,0.1456785501785518
2.0,6.682369056417237,0.15685238043960936
2.0,7.042788738847383,0.16808882128405145
